label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
jacket,282,589,1494,1888,p1.webp,2000,3000
tank top,803,916,651,782,p10.webp,2258,1698
dress,286,354,675,1331,p100.webp,1280,1829
dress,460,373,401,1497,p101.webp,1334,2000
heels,634,1654,155,313,p101.webp,1334,2000
dress,277,385,766,1549,p102.jpeg,1224,2000
dress,92,68,136,219,p103.jpeg,320,480
hand bag,158,254,61,77,p103.jpeg,320,480
heels,70,394,35,81,p103.jpeg,320,480
heels,154,376,35,81,p103.jpeg,320,480
dress,1100,838,599,1882,p104.jpeg,2776,3256
jacket,177,181,346,346,p105.jpeg,682,1024
cargo pants,226,381,244,523,p105.jpeg,682,1024
hand bag,185,541,62,123,p105.jpeg,682,1024
cargo pants,325,327,1392,684,p106.webp,1920,1080
dress,293,395,255,493,p107.jpeg,731,1024
hand bag,150,598,105,119,p107.jpeg,731,1024
jacket,278,225,234,365,p108.webp,683,1024
cap,340,610,113,122,p108.webp,683,1024
dress shoes,225,830,143,75,p108.webp,683,1024
dress shoes,310,888,133,92,p108.webp,683,1024
dress,267,118,195,405,p109.webp,700,526
bodysuit,304,425,172,148,p11.jpg,736,1219
jeans,284,551,214,494,p11.jpg,736,1219
hand bag,260,693,39,234,p11.jpg,736,1219
sneakers,275,1012,197,84,p11.jpg,736,1219
hand bag,425,1148,142,263,p110.webp,1600,2133
jeans,641,959,366,1018,p110.webp,1600,2133
blazer,329,292,553,903,p111.jpeg,1200,1850
slacks,278,696,568,988,p111.jpeg,1200,1850
dress,926,661,825,1929,p112.jpg,2616,3950
dress shirt,78,43,77,64,p113.jpg,275,183
slacks,94,98,51,85,p113.jpg,275,183
dress,108,36,41,134,p114.jpg,275,183
overalls,77,70,94,133,p115.jpg,236,336
hand bag,54,204,58,91,p115.jpg,236,336
sneakers,94,304,47,27,p115.jpg,236,336
button down shirt,246,321,442,540,p116.jpeg,1200,900
button down shirt,200,126,391,389,p117.jpg,736,736
button down shirt,165,145,290,311,p118.jpg,563,1000
bucket hat,232,0,172,94,p118.jpg,563,1000
dress pants,150,420,245,530,p118.jpg,563,1000
button down shirt,192,284,273,342,p119.jpg,736,1104
shorts,228,586,249,189,p119.jpg,736,1104
sneakers,289,967,70,108,p119.jpg,736,1104
sneakers,344,872,79,131,p119.jpg,736,1104
short skirt,529,633,297,356,p12.jpg,1200,1600
hand bag,492,806,115,277,p12.jpg,1200,1600
sneakers,474,1277,235,224,p12.jpg,1200,1600
dress,552,335,645,1220,p120.jpg,1315,2000
heels,732,1746,147,232,p120.jpg,1315,2000
heels,1036,1751,147,243,p120.jpg,1315,2000
heels,348,1734,138,238,p120.jpg,1315,2000
heels,207,1682,97,183,p120.jpg,1315,2000
dress,292,440,249,1148,p120.jpg,1315,2000
hand bag,110,1035,166,271,p120.jpg,1315,2000
blazer,40,6,130,164,p121.jpg,297,170
dress,79,8,95,303,p122.jpg,260,320
bodysuit,9,174,254,236,p124.jpg,366,450
dress,97,241,444,455,p125.webp,600,884
dress,42,72,63,131,p126.jpg,225,225
hand bag,31,157,31,60,p126.jpg,225,225
t-shirt,152,193,246,191,p127.webp,800,800
t-shirt,409,191,259,191,p127.webp,800,800
hand bag,5,335,93,114,p127.webp,800,800
hand bag,393,448,69,139,p127.webp,800,800
sweatpants,99,351,215,359,p127.webp,800,800
sweatpants,458,351,250,323,p127.webp,800,800
sneakers,50,679,81,70,p127.webp,800,800
sneakers,244,699,72,93,p127.webp,800,800
sneakers,485,684,63,89,p127.webp,800,800
sneakers,684,644,96,72,p127.webp,800,800
cap,201,71,128,71,p127.webp,800,800
bodysuit,510,416,385,394,p128.webp,1365,2048
slacks,385,776,606,1127,p128.webp,1365,2048
long sleeve shirt,119,39,270,210,p129.webp,500,667
dress pants,155,204,207,447,p129.webp,500,667
hand bag,319,309,89,187,p129.webp,500,667
dress,173,105,286,575,p13.jpg,629,775
hand bag,127,500,74,139,p13.jpg,629,775
crop top,55,87,134,93,p130.webp,390,585
long skirt,92,184,123,285,p130.webp,390,585
sandals,110,469,40,89,p130.webp,390,585
sandals,173,477,68,100,p130.webp,390,585
crop top,305,229,260,238,p131.webp,800,1211
short skirt,336,451,251,231,p131.webp,800,1211
sandals,356,998,72,174,p131.webp,800,1211
sandals,444,1000,57,176,p131.webp,800,1211
long sleeve shirt,174,13,383,283,p132.webp,768,768
dress pants,272,233,291,423,p132.webp,768,768
hand bag,442,312,116,103,p132.webp,768,768
heels,336,634,70,104,p132.webp,768,768
heels,466,628,78,125,p132.webp,768,768
pullover,143,105,270,312,p133.webp,550,550
pullover,193,205,264,274,p134.jpg,586,879
slacks,227,446,192,350,p134.jpg,586,879
sneakers,258,787,60,90,p134.jpg,586,879
sneakers,314,750,41,68,p134.jpg,586,879
blazer,372,431,512,589,p136.webp,1188,1781
hand bag,289,1015,273,273,p136.webp,1188,1781
dress pants,348,739,535,882,p136.webp,1188,1781
heels,183,192,118,133,p137.webp,700,525
jacket,298,74,313,393,p137.webp,700,525
hand bag,163,418,210,102,p137.webp,700,525
jacket,1,101,161,319,p137.webp,700,525
jacket,50,84,435,512,p138.jpg,1080,1080
long sleeve shirt,580,176,403,420,p138.jpg,1080,1080
jeggings,444,450,251,581,p138.jpg,1080,1080
hand bag,722,735,312,266,p138.jpg,1080,1080
heels,152,772,242,252,p138.jpg,1080,1080
tank top,105,456,269,595,p139.jpg,1440,1800
jeggings,322,697,341,1068,p139.jpg,1440,1800
long sleeve shirt,67,86,68,75,p14.jpg,168,300
sweatpants,71,155,44,99,p14.jpg,168,300
hand bag,17,173,98,57,p140.jpg,236,330
heels,151,233,72,69,p140.jpg,236,330
jeans,110,126,77,199,p140.jpg,236,330
long sleeve shirt,170,3,311,421,p141.webp,800,600
hand bag,31,282,232,304,p141.webp,800,600
dress shoes,264,424,253,139,p141.webp,800,600
dress pants,490,8,207,568,p141.webp,800,600
long sleeve shirt,354,3,243,337,p142.jpg,600,681
dress shoes,237,340,107,332,p142.jpg,600,681
dress shoes,364,339,120,338,p142.jpg,600,681
hand bag,486,330,112,349,p142.jpg,600,681
blazer,64,96,686,891,p144.jpeg,2034,2032
tank top,78,1079,649,838,p144.jpeg,2034,2032
